Idiom (Asturian),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Asturian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nun dar un palu al agua,Negative verb phrase with prepositional clause; fixed structure,To be lazy or avoid any kind of work or effort,Nun trabayar en absoluto,B1,"Daily speech, sarcasm, workplace","Colloquial, ironic","Common across Asturias, likely linked to fishing culture where 'palu' (pole) refers to work",[nun ˈdaɾ um ˈpalu al ˈaɰwa],¡Mira esi rapaz! ¡Nun da un palu al agua dende que nació!,"Si sigues ensin dar un palu al agua, nun vas algamar nada.",Dixen d'él qu’en tol branu nun dio un palu al agua.
Facer la vista gorda,Infinitive phrase with definite article and adjective; fixed clause,To deliberately ignore something wrong,Ignorar intencionadamente,B2,"Workplace, politics, family","Colloquial, neutral",Similar to Spanish idiom; reflects Mediterranean bureaucratic culture,[faˈθeɾ la ˈβista ˈɣoɾða],El profesor fizo la vista gorda cola copia.,Na empresa suel facese la vista gorda coles hores extra.,Fiz la vista gorda porque entendí la so situación.
Tener más cuento que Calleja,Comparative phrase with noun clause; fixed structure,To exaggerate or invent stories excessively,Exaxerar o mentir enforma,C1,"Daily speech, humor, literature","Ironic, humorous","References Saturnino Calleja, famed Spanish publisher of children’s tales",[teˈneɾ mas ˈkwento ke kaˈʎexa],"Tien más cuento que Calleja, nun-y creas nada.","Cuando empieza falar, ya sabes que tien más cuento que Calleja.","Pintólo como una traxedia, pero ye que tien más cuento que Calleja."
Pintar bastos,Infinitive phrase with verb-noun construction; fixed idiomatic verb phrase,Things are going badly or the situation is deteriorating,La situación va mal,C1,"Politics, economy, news","Formal, ironic",Refers to Spanish card game suits; bastos represent difficulty,[pinˈtaɾ ˈbastos],"Si gana esi partíu, va pintar bastos pa toos.","Colos precios como tán, pinta bastos na economía.","Cuando salieron les encuestes, empezó a pintar bastos."
Dir como’l gaiteru de Llibardón,Infinitive + simile phrase; regional clause,To go around talking nonsense or boasting foolishly,Falar ensin sentíu o presumiendo de más,C2,"Rural speech, humor, literature","Humorous, rural","Local legend from Llibardón, parody of self-important musician",[diɾ ˈkomol ɣaiˈteɾu ðe ʎiβaɾˈðon],"Anda por ahí como’l gaiteru de Llibardón, ensin saber de qué fala.","Cada vez que lo mires, va como’l gaiteru de Llibardón.",Falaba tanto qu’acabó como’l gaiteru de Llibardón: ensin público.
Falar pol culu,"Infinitive verb phrase with prepositional clause; vulgar, idiomatic structure",To speak nonsense or without thinking,Decir tonteríes,B2,"Humor, daily speech, vulgar language","Vulgar, colloquial, humorous",Common across informal Asturian speech; matches earthy humor traditions,[faˈlaɾ pol ˈkulu],Deja de falar pol culu y diz algo sensatu.,Taba tan cansáu que falaba pol culu ensin parar.,"Falen pol culu, como si nun tuvieran neurones."
Estar ensin blanca,Verb phrase with negation and noun; fixed clause,"To be completely broke, without money",Nun tener dineru,A2,"Daily life, economy, youth slang",Colloquial,"‘Blanca’ was a low-value coin in old Spain, also used metaphorically",[esˈtaɾ enˈsin ˈblaŋka],"Esti mes toy ensin blanca, tengo que ahorrar.",Siempre ta ensin blanca a final de mes.,Nun pudimos salir porque tábamos ensin blanca.
Salise pela tanxente,Reflexive verb phrase with prepositional clause; fixed metaphorical structure,To avoid a direct answer or change the subject,Evadise d'una respuesta directa,C1,"Politics, media, personal arguments","Formal, ironic","Based on geometry—‘tanxente’ means tangent, used metaphorically",[saˈli.se ˈpela taŋˈxente],"Cuando-y preguntaron, salió pela tanxente enseguida.",Tien l'arte de salise pela tanxente y nun responder a na.,"Siempre que hai problemes, salse pela tanxente."
Ser la repanocha,Copulative phrase with definite noun; emphatic expression,"To be the best, the most impressive (or, ironically, the worst)",Ser impresionante (positiva o negativamente),B2,"Youth, humor, exaggeration","Colloquial, ironic, humorous",Possibly euphemism of stronger vulgar word; popular in Asturian youth speech,[seɾ la re.paˈnot͡ʃa],"Esa fiesta fue la repanocha, de verdá.",¡La repanocha de trabayu que me mandaron!,"Nun-y valía con poco, quería la repanocha."
Quedar como un paisanu,Verb phrase with simile; regional idiomatic use,To end up looking ridiculous or naive,Quedar como un inocente o ridículu,B1,"Daily life, teasing, rural speech","Colloquial, rural",‘Paisanu’ refers to rural person; reflects urban-rural dynamics in speech,[keˈðaɾ ˈkomo um paiˈsanu],Nun me dixesti nada y quedé como un paisanu.,Metí la pata y quedé como un paisanu del to.,"Cola sorpresa que-y dieron, quedó como un paisanu."
