Idiom (Bishnupriya Manipuri),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
মুখে মধু অন্তরে বিষ,দ্বি-খণ্ডিত সমান্তরাল বাক্যাংশ; বিশেষ্য + অধিকরণ + বিশেষ্য গঠন,বাহ্যিকভাবে মিষ্টি বা সদয় আচরণ করলেও অন্তরে বিদ্বেষ বা ক্ষতি করার মনোভাব রাখা।,বাহ্যিকভাবে ভাল ব্যবহার করলেও ভিতরে খারাপ উদ্দেশ্য রাখা।,B2,"দৈনন্দিন কথোপকথন, রাজনীতি, পারিবারিক আলোচনা, সাহিত্য","ইঙ্গিতপূর্ণ, সমালোচনামূলক, কটাক্ষপূর্ণ",লোকমুখে প্রচলিত; বরাক উপত্যকার সামাজিক সম্পর্ক বিশ্লেষণে ব্যবহৃত।,/mukʰe mɔdʱu ɔntore biʃ/,"তাঁর কথা শুনিলে ভাল লাগে, কিন্তু সে মুখে মধু অন্তরে বিষ।",রাজনীতিত মুখে মধু অন্তরে বিষ লোকৰ অভাব নাই।,"তুমি সাবধানে থাকিবা, সেয়া মুখে মধু অন্তরে বিষ মানুহ।"
মাথাত আকাশ ভাঙি পৰিল,অতীত কালত ক্রিয়াবাচক স্থির বাক্যাংশ; রূপক ক্রিয়া,হঠাৎ চরম দুঃসংবাদ বা বিপদে সম্পূর্ণ হতবাক হয়ে যাওয়া।,হঠাৎ বড় বিপদে পড়ে অবাক হয়ে যাওয়া।,B1,"পারিবারিক আলোচনা, ব্যক্তিগত অভিজ্ঞতা, নাটকীয় বর্ণনা","নাটকীয়, আবেগপূর্ণ",গ্রামীণ উপমা; প্রকৃতিনির্ভর কল্পচিত্র থেকে উদ্ভূত।,/matʰat akaʃ bʱaŋi pɔril/,পৰীক্ষাৰ ফলাফল শুনি মোৰ মাথাত আকাশ ভাঙি পৰিল।,ঋণের কথা জানি তাৰ মাথাত আকাশ ভাঙি পৰিল।,ডাক্তৰৰ রিপোর্ট দেখিয়া পৰিয়ালৰ সবার মাথাত আকাশ ভাঙি পৰিল।
যাৰ লাঠি তাৰ ভৈঁসী,শর্তমূলক সমান্তরাল প্রবাদ বাক্য; অধিকারের ইঙ্গিত,যার ক্ষমতা আছে সে-ই নিয়ন্ত্রণ করে বা সুবিধা ভোগ করে।,ক্ষমতাবান ব্যক্তি নিয়ন্ত্রণ করে।,B2,"রাজনীতি, সামাজিক আলোচনা, ক্ষমতা বিশ্লেষণ","লোকপ্রবাদ, বাস্তববাদী",গ্রামীণ পশুপালন সমাজ থেকে উৎপত্তি; লাঠি শক্তির প্রতীক।,/jar laʈʰi tar bʱɔ̃isi/,এই গ্রামত যাৰ লাঠি তাৰ ভৈঁসী চলি আছে।,অফিসত যাৰ লাঠি তাৰ ভৈঁসী নীতি মানা হয়।,রাজনীতিত বহু সময় যাৰ লাঠি তাৰ ভৈঁসী দেখা যায়।
চোখে দেখা পাহাৰ নহয়,নিষেধাত্মক বর্ণনামূলক বাক্যাংশ,"যা চোখে বড় বা কঠিন মনে হয়, বাস্তবে তত কঠিন নয়।","দেখতে যত কঠিন লাগে, আসলে তত কঠিন নয়।",B1,"শিক্ষা, পরামর্শ, উদ্বুদ্ধকরণ","উৎসাহমূলক, প্রেরণাদায়ক",পাহাড়ি ভূপ্রকৃতি-প্রভাবিত উপমা; ভৌগোলিক চিত্রকল্প।,/tʃokʰe dekʰa pahar nɔhɔj/,"ভয় নকৰিবা, এই কাম চোখে দেখা পাহাৰ নহয়।",পরীক্ষা চোখে দেখা পাহাৰ নহয় যদি নিয়মিত পড়া হয়।,"নতুন চাকৰি চোখে দেখা পাহাৰ নহয়, ধৈর্য্য ধরিলে হ'ব।"
পানীত থাকি কুম্ভীৰৰ লগত বৈৰী নহয়,শর্তমূলক রূপক বাক্য; ক্রিয়াবাচক উপমা,"যে পরিবেশে বাস করি, সেখানে শক্তিশালী ব্যক্তির সাথে শত্রুতা করা উচিত নয়।",নিজ পরিবেশের ক্ষমতাবান ব্যক্তির সাথে ঝগড়া করা ঠিক নয়।,C1,"সামাজিক বুদ্ধিমত্তা, কর্মক্ষেত্র, রাজনীতি","উপদেশমূলক, কৌশলী",নদীমাতৃক সংস্কৃতি; বরাক নদীর প্রভাব।,/panit tʰaki kumbʱirer lɔgɔt bɔiri nɔhɔj/,অফিসত পানীত থাকি কুম্ভীৰৰ লগত বৈৰী নহয় মনত ৰাখিবা।,এই সমাজত পানীত থাকি কুম্ভীৰৰ লগত বৈৰী নহয় চলি আছে।,ব্যবসাত পানীত থাকি কুম্ভীৰৰ লগত বৈৰী নহয় নীতি মানিলে ভাল।
বতাহত দিয়া কথা উৰি যায়,রূপক বর্ণনামূলক বাক্য; অতীত/বর্তমান প্রযোজ্য স্থির গঠন,অস্থায়ী বা প্রমাণহীন কথা টেকে না।,প্রমাণ ছাড়া বলা কথা স্থায়ী হয় না।,B2,"আইন, সামাজিক বিতর্ক, পারিবারিক উপদেশ",সতর্কতামূলক,মৌখিক ঐতিহ্য থেকে; কথার স্থায়িত্ব নিয়ে লোকবিশ্বাস।,/bɔtahat dia kɔtʰa uri jai/,"লিখিত প্রমাণ দিয়া, বতাহত দিয়া কথা উৰি যায়।",সাক্ষী ছাড়া বতাহত দিয়া কথা উৰি যায়।,আইনত বতাহত দিয়া কথা উৰি যায় মানা হয়।
হাতৰ পাখি গজা,ক্রিয়াবাচক রূপক; অপ্রকৃত ক্রিয়া গঠন,অত্যন্ত দ্রুত অগ্রগতি বা উন্নতি হওয়া।,খুব দ্রুত উন্নতি করা।,B1,"শিক্ষা, ব্যবসা, প্রশংসা","প্রশংসাসূচক, রসাত্মক",পাখির উড়ান থেকে অনুপ্রাণিত গ্রামীণ রূপক।,/hator pakʰi gɔza/,তোৰ ব্যবসাত যেন হাতৰ পাখি গজা হৈছে।,পঢ়াত তাৰ হাতৰ পাখি গজা দেখা যায়।,নতুন উদ্যোগত হাতৰ পাখি গজা গতি লৈছে।
চুলিতে তেল নাই,নিষেধাত্মক বিশেষ্য বাক্যাংশ; রূপক অবস্থা বর্ণনা,অর্থ বা সম্পদের অভাব থাকা।,টাকা-পয়সা নেই।,A2,"দৈনন্দিন জীবন, হাস্যরস, পারিবারিক কথা","হালকা, কথ্য",তেল ব্যবহারের ঐতিহ্য থেকে দারিদ্র্যের উপমা।,/tʃulite tel nai/,এই মাসত মোৰ চুলিতে তেল নাই।,বেতন দেৰী হওয়ায় চুলিতে তেল নাই অৱস্থা।,উৎসৱৰ আগতে চুলিতে তেল নাই হৈ গ'ল।
ধৈর্য্য ধৰা মানে জয়ৰ অর্ধেক,কারণসূচক উপদেশমূলক বাক্য; ক্রিয়াবাচক বিশেষ্য গঠন,ধৈর্য্য ধরলে সাফল্যের বড় অংশ অর্জিত হয়।,ধৈর্য্য ধরলে সফল হওয়া সহজ হয়।,B2,"শিক্ষা, অনুপ্রেরণা, পারিবারিক উপদেশ","উৎসাহমূলক, নীতিবাচক",লোকপ্রবাদ; শিক্ষামূলক সংস্কৃতির অংশ।,/dʱɔirjjo dʱɔra mane dʒɔjor ɔrdʱek/,"পৰীক্ষাৰ আগতে মনত ৰাখিবা, ধৈর্য্য ধৰা মানে জয়ৰ অর্ধেক।",ব্যবসাত ধৈর্য্য ধৰা মানে জয়ৰ অর্ধেক।,সংগ্রামত ধৈর্য্য ধৰা মানে জয়ৰ অর্ধেক বুলি বৃদ্ধসকল কয়।
আগে পিছে ভেবে কাম কৰা,আদেশমূলক যৌগিক ক্রিয়া বাক্যাংশ,কোন কাজ করার আগে ভালোভাবে চিন্তা করা।,কাজের আগে ভাবা উচিত।,A2,"পারিবারিক উপদেশ, শিক্ষা, দৈনন্দিন সিদ্ধান্ত","উপদেশমূলক, কথ্য",পারিবারিক শিক্ষায় বহুল ব্যবহৃত নীতিবাক্য।,/age pitʃe bʱebe kam kɔra/,তুমি আগে পিছে ভেবে কাম কৰা উচিত।,চুক্তি সই কৰাৰ আগতে আগে পিছে ভেবে কাম কৰা।,যুবসকলক আগে পিছে ভেবে কাম কৰা শেখানো হয়।
