Idiom (Croatian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Croatian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ići glavom kroz zid,Infinitive verb phrase,Biti tvrdoglav i pokušavati nešto bez obzira na prepreke,"Uporno pokušavati nešto, iako to nije razumno",B2,"daily speech, workplace, family",colloquial,Zagreb; narodna poslovica,/ǐːt͡ɕi ɡlǎːʋom kʁoːz zîd/,On uvijek ide glavom kroz zid kad si nešto zacrta.,Nema smisla ići glavom kroz zid – postoji lakši način.,"Ponekad se mora stati i razmisliti, a ne ići glavom kroz zid."
Pasti s kruške,Verb phrase with prepositional construction,Biti potpuno iznenađen ili zbunjen,Biti vrlo iznenađen ili zbunjen,A2,"daily speech, humor","colloquial, humorous",Istarska regija; povezana s ruralnim životom,/pǎsti s krûʃke/,"Kad sam čuo vijest, kao da sam pao s kruške.",Ti si baš pao s kruške ako to nisi znao.,Gledaš me kao da si pao s kruške.
Nije mačji kašalj,Negacija + imenica + imenica (genitiv),Nešto što je teško ili zahtjevno,To je teško ili zahtjevno,B1,"daily speech, workplace",colloquial,Obalni dio Hrvatske; povezan s izrekama iz svakodnevnog govora,/nîje mât͡ʃiː kǎʃaʎ/,Programiranje nije mačji kašalj.,"Vođenje tima nije mačji kašalj, traži vještine.",To nije mačji kašalj kako ti misliš.
Držati figu u džepu,Glagolska fraza s prijedložnim dodatkom,Tajno se nadati da nešto neće uspjeti,Potajno željeti da netko ne uspije,C1,"sarcasm, workplace, politics",ironic,Srednja Europa; simbolički čin iz doba Austro-Ugarske,/dř̩ʒati fîɡu u dʒɛ̌pu/,"Rekla je da mi želi sreću, ali držala je figu u džepu.",Osjećao sam kao da svi drže figu u džepu kad sam dobio promaknuće.,Ne vjerujem joj – sigurno drži figu u džepu.
Biti na konju,Glagolska fraza s prijedložnim dodatkom,Biti u povoljnoj situaciji,Nalaziti se u dobroj poziciji,B2,"daily speech, workplace",colloquial,Simbol pobjede; inspirirano vojnim i viteškim tradicijama,/bǐti na kôɲu/,"Kad sam položio ispit, osjećao sam se kao da sam na konju.","Ako ovo uspije, bit ćeš na konju.",Sad si stvarno na konju – bravo!
Imati putra na glavi,Glagolska fraza s objektnim dodatkom,Biti kriv ili skrivati nešto,Biti u nevolji zbog vlastitih postupaka,C1,"politics, sarcasm, workplace","ironic, colloquial",Zagrebački sleng; povezano s javnim sramom,/ǐmati pûtra na ɡlâːʋi/,Ne možeš optuživati druge kad imaš putra na glavi.,"I on ima putra na glavi, samo šuti.",Svi znamo tko ima putra na glavi u ovom slučaju.
Nije štedio jezika,Negacija + perfekt glagola + genitiv,Govorio otvoreno i bez zadrške,Govorio iskreno i bez ustručavanja,B2,"politics, literature, media","literary, formal",Kao izraz iz političkih govora i romana 20. stoljeća,/nîje ʃtěːdio jězika/,Nije štedio jezika u svojoj kritici vlasti.,"Govoreći o reformama, nije štedio jezika.",Pisac nije štedio jezika u romanu.
Plivati kao riba u vodi,Similativna rečenica (usporedba),Biti vrlo vješt ili se osjećati ugodno u nekoj situaciji,Biti sposoban i ugodan u nečemu,A2,"daily speech, workplace, family",colloquial,Globalna metafora; popularna u školama,/plîʋati kǎːo rîba u ʋǒdi/,Na novom poslu plivam kao riba u vodi.,U matematici se snalazi kao riba u vodi.,Djeca se u igri snalaze kao riba u vodi.
Baciti rukavicu,Glagolska fraza,Izazvati nekoga na sukob ili natjecanje,Izazvati nekoga otvoreno,C2,"politics, literature, workplace","formal, literary",Srednjovjekovni običaj dvoboja; viteška čast,/bǎt͡siti rukǎːʋit͡su/,Premijer je bacio rukavicu oporbi.,Time je zapravo bacio rukavicu svima koji se ne slažu.,Roman počinje tako da glavni lik baca rukavicu društvu.
Sveti Petar čuva ključeve,Rečenica s imenicom u subjektu,Umrla je osoba (eufemizam),Netko je umro,C1,"literature, religion, family","poetic, euphemistic",Kršćanska simbolika – Sveti Petar kao čuvar neba,/svěːti pětar t͡ʃûːʋa kljuːt͡ʃěːʋe/,Baka više nije s nama – Sveti Petar čuva ključeve.,"Kažu da kad Sveti Petar čuva ključeve, otvori se nebo.",U pjesmi se spominje kako Sveti Petar čuva ključeve dušama.
