Idiom (Khandeshi),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
डोळ्यात तेल घालून पाहणं,क्रियापदात्मक वाक्यप्रचार; कृदंत + अपूर्ण क्रियापद संरचना,अतिशय काळजीपूर्वक आणि सतर्कपणे लक्ष ठेवणे,खूप लक्षपूर्वक पाहणे,B2,"दैनंदिन संभाषण, पालकत्व, जबाबदारीची चर्चा","कोलोquial, सूचक",पूर्वी दिव्याच्या प्रकाशात काम करताना डोळ्यांत तेल घालण्याची प्रतिमा; दक्षतेचे प्रतीक,/ɖoːɭjaːt teːl ɡʱaːluːn paːhəɳə/,आई मुलांवर डोळ्यात तेल घालून पाहते.,गुरुजी परीक्षा काळात विद्यार्थ्यांकडे डोळ्यात तेल घालून पाहत होते.,पोलीसांनी सीमेकडे डोळ्यात तेल घालून पाहणं सुरू केलं.
दोन पाण्यात पाय ठेवणं,अव्ययीभावी वाक्यप्रचार; द्विपद क्रियापद रचना,एकाच वेळी दोन बाजूंना पाठिंबा देण्याचा प्रयत्न करणे,दोन बाजूंना साथ देणे,C1,"राजकारण, कार्यालयीन चर्चा, नातेसंबंध","आरोपात्मक, व्यंगात्मक",नदीकाठी शेती संस्कृतीतून; दोन प्रवाहांत उभं राहणं अस्थिरतेचं प्रतीक,/doːn paːɳjaːt paːj ʈʰeːʋɳə/,तो निवडणुकीत दोन पाण्यात पाय ठेवतो आहे.,तू मित्र आणि बॉस दोघांनाही खुश ठेवायला दोन पाण्यात पाय ठेवू नकोस.,ती चर्चेत दोन पाण्यात पाय ठेवणारी भूमिका घेत होती.
आगीत तेल ओतणं,क्रियापदात्मक वाक्यप्रचार; कर्म + क्रियापद,आधीच तणावपूर्ण परिस्थिती अधिक भडकवणे,परिस्थिती आणखी वाईट करणे,B1,"भांडण, कौटुंबिक वाद, राजकीय भाष्य","इशारादायक, नकारात्मक",ग्रामीण स्वयंपाक संस्कृतीतून; ज्वलनशीलतेची प्रतिमा,/aːɡiːt teːl oːt̪ɳə/,तू त्यांच्या वादात आगीत तेल ओतू नकोस.,त्याच्या वक्तव्याने आगीत तेल ओतलं गेलं.,सोशल मीडियावरची पोस्ट आगीत तेल ओतणारी ठरली.
हातचे सोडून पळत्या मागे धावणं,संयुक्त क्रियापद रचना; कृदंत + गत्यर्थक क्रिया,हाती असलेली खात्रीची गोष्ट सोडून अनिश्चित गोष्टीच्या मागे लागणे,निश्चित संधी सोडून अनिश्चित संधीचा पाठलाग करणे,C2,"व्यवसाय, करिअर निर्णय, कौटुंबिक सल्ला","प्रवचनात्मक, अनुभवी",शेती आणि शिकार संस्कृतीतून; पळत्या जनावराच्या मागे धावण्याची प्रतिमा,/haːt̪t͡ʃe soːɖuːn pəɭt̪jaː maːɡe d̪ʱaːʋɳə/,त्याने नोकरी सोडून हातचे सोडून पळत्या मागे धावलं.,तू खात्रीची संधी गमावून हातचे सोडून पळत्या मागे धावतो आहेस.,गावातल्या लोकांनी त्याला हातचे सोडून पळत्या मागे धावू नको असं सांगितलं.
तोंडाला पाने पुसणं,क्रियापदात्मक वाक्यप्रचार; कर्मप्रधान रचना,अपेक्षित लाभ न मिळणे,निराश होणे,B2,"व्यवहार, बाजारपेठ, विनोद","हलकं-फुलकं, व्यंगात्मक",जेवणानंतर तोंड पुसण्याच्या ग्रामीण सवयीवर आधारित रूपक,/t̪oːɳɖaːla paːne pusɳə/,त्याला बक्षीस मिळेल असं वाटलं पण तोंडाला पाने पुसावी लागली.,ग्राहकांनी सवलत न मिळाल्याने तोंडाला पाने पुसली.,तो शेवटी तोंडाला पाने पुसून घरी परतला.
डोक्यावर आभाळ कोसळणं,अव्ययीभावी वाक्यरचना; भाववाचक प्रयोग,अचानक मोठं संकट येणं,मोठी अडचण येणे,B1,"दुःखद प्रसंग, कौटुंबिक संकट","भावनिक, नाट्यमय",मान्सूनप्रधान प्रदेशातील आकाश-आधारित प्रतिमा,/ɖoːkjaːʋər aːbʱaːɭ koːsəɭɳə/,नोकरी गेल्याचं ऐकून त्याच्या डोक्यावर आभाळ कोसळलं.,अचानक आजारपणाने कुटुंबावर डोक्यावर आभाळ कोसळलं.,तिच्या निकालामुळे तिच्यावर डोक्यावर आभाळ कोसळल्यासारखं झालं.
शब्दाला शब्द देणं,द्विकर्मक क्रियापद रचना,दिलेलं वचन पाळणं,वचन पाळणे,A2,"मैत्री, करार, कौटुंबिक मूल्ये","सकारात्मक, नैतिक",मौखिक परंपरेवर आधारित विश्वाससंस्कृती,/ʃəb̪d̪aːla ʃəb̪d̪ d̪eːɳə/,तो नेहमी शब्दाला शब्द देतो.,तिने शब्दाला शब्द देऊन वेळेत मदत केली.,गावात त्याची ओळख शब्दाला शब्द देणारा माणूस म्हणून आहे.
मनातल्या मनात हसणं,क्रियाविशेषणीय पुनरुक्ती रचना,बाहेरून शांत राहून आतून आनंद किंवा समाधान वाटणे,आतून हसणे,B1,"विनोद, सूचक प्रसंग, राजकीय टिप्पणी","सूचक, हलका",आतल्या भावनांना दाबून ठेवण्याची सामाजिक सवय,/mənat̪lʲa mənat̪ həsɳə/,तो तिचं उत्तर ऐकून मनातल्या मनात हसत होता.,ती स्पर्धेत जिंकल्यावर मनातल्या मनात हसली.,त्याने प्रतिस्पर्ध्याकडे पाहून मनातल्या मनात हसणं सुरू केलं.
नशिबात सोनं पडणं,भाववाचक वाक्यप्रचार; कर्मवाच्य छटा,अचानक मोठं भाग्य लाभणे,अचानक भाग्यवान होणे,B2,"यश, लॉटरी, विवाह चर्चा","आनंदी, कौतुकपूर्ण",सोनं हे संपत्तीचं प्रतीक; ग्रामीण आर्थिक संदर्भ,/nəʃibaːt̪ soːnə pəɖɳə/,त्याला मोठी नोकरी मिळाली म्हणजे नशिबात सोनं पडलं.,तिच्या विवाहामुळे तिच्या नशिबात सोनं पडलं असं सगळे म्हणाले.,स्पर्धा जिंकल्यावर त्याच्या नशिबात सोनं पडलं.
पाय घसरून बसणं,गत्यर्थक क्रियापद रचना; रूपकात्मक वापर,चूक करून अडचणीत येणे,चूक करणे आणि संकटात येणे,B1,"राजकारण, वैयक्तिक आयुष्य, नैतिक चर्चा",इशारादायक,घसरत्या मातीत पडण्याच्या अनुभवातून रूपक,/paːj ɡʱəsəruːn bəsɳə/,तो चुकीच्या व्यवहारामुळे पाय घसरून बसला.,तू लोभामुळे पाय घसरून बसू नकोस.,नेत्याचा एक निर्णय त्याला पाय घसरून बसायला कारणीभूत ठरला.
