Idiom (Latin),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Latin)",First Example Sentence,Second Example Sentence,Third Example Sentence
Alea iacta est,Perfect passive indicative (3rd person singular),The point of no return has been reached,A decision has been made and cannot be reversed,B2,"Politics, literature, history","Formal, historical",Attributed to Julius Caesar upon crossing the Rubicon,[ˈa.le.a ˈjak.ta est],"Alea iacta est, dixit, cum exercitum in Italiam duceret.",Non revertar: alea iacta est.,Risque bellum incipit—alea iacta est.
Auribus teneo lupum,Verb phrase with direct object in accusative,Being in a precarious situation where letting go or continuing both pose risks,Caught between two dangers,C1,"Workplace, humor, philosophy","Ironic, philosophical",Roman proverb symbolizing dilemma,[ˈau̯.ri.bus ˈte.ne.o̯ ˈlu.pum],Negotium tam difficile est: auribus teneo lupum.,Quid agam? Auribus teneo lupum.,Auribus teneo lupum: effugere nequeo sine damno.
Lupus in fabula,Noun phrase with prepositional complement,Speak of the devil,"Just as someone was being spoken of, they appear",A2,"Daily speech, surprise",Colloquial,Roman fable allusion,[ˈlu.pus in ˈfa.bu.la],Ecce Marcus! Lupus in fabula!,Lupus in fabula—loquebamur modo de te!,"Dum de magistro dicimus, intrat: lupus in fabula."
Panem et circenses,Coordinated noun phrase (accusative),Superficial appeasement of the masses through food and entertainment,Keeping people content with distractions,B1,"Politics, media, satire","Ironic, critical",Juvenal’s critique of Roman populism,[ˈpa.nem et kirˈken.seːs],Cives nihil volunt nisi panem et circenses.,Panem et circenses sufficiunt ad pacem falsam.,Populus iners—panem et circenses petunt.
Fiat lux,Jussive subjunctive (3rd person singular),Let clarity or truth arise,Let there be understanding or enlightenment,C1,"Philosophy, theology, education","Formal, poetic",From Genesis in the Latin Vulgate,[ˈfi.at luks],In tenebris dubitationis: fiat lux.,Veritas revelanda est—fiat lux.,Magister dixit: fiat lux in mentibus discipulorum.
Nervus belli pecunia infinita,Noun phrase with genitive and adjective modifiers,Unlimited money is the key to war success,Money drives war efforts,C2,"Politics, history, economics","Formal, historical",Attributed to Cicero’s writings on war strategy,[ˈner.wus ˈbel.li pe.ˈkuː.ni.a in.fiˈniː.ta],"Milites sunt parati, sed nervus belli pecunia infinita est.",Imperatores sciunt: nervus belli pecunia infinita.,Nulla victoria sine nervo belli—pecunia infinita.
Ab ovo usque ad mala,Prepositional phrase from beginning to end (ablative constructions),From beginning to end,From start to finish,B1,"Storytelling, speeches, education","Literary, colloquial",Typical Roman meal structure: from egg (starter) to fruit (dessert),[ab ˈo.wo ˈus.kwe ad ˈma.la],Narratio fuit ab ovo usque ad mala.,Disputatio ducta est ab ovo usque ad mala.,Eventus describitur ab ovo usque ad mala.
Corvus oculum corvi non eruit,Subject-verb-object with negation; proverb structure,Those of the same kind protect each other,People protect their own,B2,"Politics, law, social commentary","Ironic, proverbial",Roman folk wisdom,[ˈkor.wus ˈo.ku.lum ˈkor.wi non ˈe.ru.it],Corvus oculum corvi non eruit—magistratus magistratum defendit.,Non mirum est—corvus oculum corvi non eruit.,Inter consules idem valet: corvus oculum corvi non eruit.
Asinus ad lyram,Noun phrase with dative complement,A person unable to appreciate art or beauty,Unrefined or ignorant audience,B2,"Literature, sarcasm, education","Sarcastic, poetic",Ancient satirical metaphor,[ˈa.si.nus ad ˈly.ram],Doctus ille? Potius asinus ad lyram.,Opera tam pulchra! Sed auditor—asinus ad lyram.,Loqueris de philosophia cum asino ad lyram.
In vino veritas,Prepositional phrase with nominative,People speak the truth under the influence of wine,Alcohol loosens the tongue,A2,"Daily speech, humor, gatherings","Colloquial, humorous","Widespread Roman belief, also found in Greek culture",[in ˈwiː.no ˈwɛ.ri.tas],"Post convivium multa dixit—et certe, in vino veritas.",In vino veritas—semper verum revelatur.,Dic quae sentis: in vino veritas.
