Idiom (Niuean),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Niuean)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Fano hifo e la, fano foki e manava",Fixed clause; parallel imperative structure,To endure difficulties with hope; to persevere despite hardship,Kia fakauka he gahua mo e tau mena uka,B2,"Encouragement, proverbs, education","Poetic, proverbial",Old seafaring proverb referring to perseverance despite sunset darkness,"/ˈfa.no ˈhi.fo e ˈla, ˈfa.no ˈfo.ki e maˈna.va/","Kua fakamanatu e matua haaku: ‘Fano hifo e la, fano foki e manava.’","He taimi uka, ne manatu au ke he kupu ia, ti fakauka.","Ko e la ne hifo, ka e nakai hifo e manava he tagata loto toa."
"Tagata ua, gahua mole",Fixed nominal clause with parallel structure,An indecisive person achieves nothing,"Ko e tagata nakai fakamaama e manatu, nakai aoga e gahua",C1,"Leadership, workplace, community","Proverbial, advisory",Traditional Niuean proverb on decisiveness and determination,"/taˈŋa.ta ˈu.a, ˈŋa.hua ˈmo.le/","Ko e tagata ua, gahua mole — kua fakamaama e matua ke ako ai e fanau.","Ne tutala e pule: ‘Ko e tagata ua, gahua mole.’","He magafaoa, ne fakakite e tau tagata poto e kupu ia ke fakafeleveia e tau fifine."
Loto taufetuli mo e matagi,Complex noun phrase with metaphorical predicate,To be restless or impatient; emotionally unsettled,Kua fakamālie nakai e loto,B2,"Emotional expression, relationships, youth culture","Colloquial, poetic",Derived from imagery of chasing the wind — symbolic of youth restlessness,/ˈlo.to tau.feˈtu.li mo e maˈta.ŋi/,Kua loto taufetuli mo e matagi au he manamanatu ke he aoga.,"He magaaho lotomafiti, ne nakai maeke ke nofo au — loto taufetuli mo e matagi.","Ne fai kupu e matua: ‘Taofi e loto, nakai galo mo e matagi.’"
Kai e tau kupu,Verb phrase; transitive idiom with metaphorical object,To take offense or be emotionally hurt by words,Kua ita he mena ne talahau,B1,"Interpersonal relations, family, social media",Colloquial,"Common conversational idiom, often humorous or teasing",/kai e tau ˈku.pu/,Nakai fai mena ke kai e tau kupu — ko e fakakata fua.,Kua kai e tau kupu a ia he manatu he fanau.,"Ne fakailoa e matua ke nakai kai e tau kupu, ke mālie e loto."
Moua e hau he tau,Verb phrase with genitive expression,To gain victory or peace after conflict,Kia manako po ke moua e manumalo,C1,"Politics, conflict resolution, cultural ceremony","Formal, ceremonial",From ancient peace ceremonies after warfare (‘hau’ means peace or authority),/ˈmou.a e ˈhau he ˈtau/,Ko e Patuiki ne talahau: ‘Kua moua e hau he tau.’,"He magafaoa fakamahani, kua moua e hau he tau.",Ko e kupu ia e fakafifitaki he tau matutaki Niue.
"Tala pē e aho, ti hemanatu",Fixed clause with sequential verb phrase,To gossip or reveal secrets carelessly,Ko e tagata ne talahau e mena kua lata ke hūhū,B2,"Humor, gossip, workplace, friendship","Colloquial, humorous",Refers to local humor about talkative elders or gossipers,"/ˈta.la pe e ˈa.ho, ti he.maˈna.tu/","Kua tala pē e aho e ia, ti hemanatu e magafaoa oti.","Ko e tagata nei, tala pē e aho, nakai manatu ke he mena aoga.","Ne fakakata e tau tagata ke he kupu ia: tala pē e aho, ti hemanatu."
Tuga e ika he tahi,Comparative simile phrase,To be unpredictable or elusive,Kua nakai maama e aga po e manatu he tagata,B2,"Social commentary, personality, politics","Proverbial, poetic",Drawn from traditional ocean fishing imagery; unpredictability of fish,/ˈtu.ŋa e ˈi.ka he ˈta.hi/,"Ko e tagata nei, tuga e ika he tahi — nakai maeke ke hopo.","He tau feleveiaaga, kua fai tagata tuga e ika he tahi.",Fakaalofa e falu tagata he tagata tuga e ika he tahi.
To kai e mena ne moua,Subordinate clause with future aspect,To accept the consequences of one’s actions,Ke fakakite e loto ke he mena ne tupu,C1,"Discipline, moral lessons, education","Formal, proverbial",Traditional Niuean teaching emphasizing responsibility and humility,/to ˈkai e ˈme.na ne ˈmou.a/,"Ko e tagata poto, to kai e mena ne moua.","He aho fakamatai, ne talahau e kupu ia ke he fanau.",Kua manatu au he kupu: to kai e mena ne moua — ke ako ai.
Matai he tau kupu,Noun phrase; metaphorical title,A person skilled in speech or persuasion,Ko e tagata poto he tutala,C2,"Public speaking, leadership, debate","Formal, honorific",Cultural title honoring orators in Niuean councils and ceremonies,/maˈtai he tau ˈku.pu/,"Ko e matua nei, matai he tau kupu — kua fakamālō e lautolu.","He potu fakafono, kua tutala e matai he tau kupu.",Kua fakahaohao e tagata lotu ke he matai he tau kupu.
Lau e lologo he matagi,Verb phrase with metaphorical complement,To spread news or rumors quickly,Kua tupu e tala vave he kaina,B1,"Social media, gossip, village news","Colloquial, metaphorical",Rooted in imagery of wind carrying voices; used in village storytelling,/lau e ˈlo.lo.go he maˈta.ŋi/,Kua lau e lologo he matagi he village he aho nei.,"He magafaoa, ne lau e lologo he matagi ke he kupu fakaalofa.","Tuga e matagi, lau vave e lologo he kupu houhou."
