Idiom (Somali),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Somali)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Mar i dage allah ha dago, laba i dage anaa is dagnaye","Complex conditional clause, uses past tense verb with emphatic reflexive","Fool me once, shame on you; fool me twice, shame on me",One should learn from past mistakes,C1,"Wisdom, daily speech, moral teaching","Proverbial, reflective","Pan-Somali wisdom, popularized through oral storytelling","/maɾ ʔi dɑɡɛ ʔɑlːɑ hɑ dɑɡo, lɑbɑ ʔi dɑɡɛ ʔɑnɑː ʔis dɑɡnɑjɛ/","Haddii qof kuu been sheego mar hore waad iska cafin kartaa, laakiin mar labaad haddii uu kuu been sheego, mar i dage allah ha dago, laba i dage anaa is dagnaye.",Waalidka hadalkaas ayuu adeegsadaa marka ay carruurtoodu ku celceliyaan qaladaadkooda.,"Macallinku wuxuu idiin sheegayaa, mar i dage allah ha dago, laba i dage anaa is dagnaye, markuu idiin digayo in aad casharka dhagaysataan."
"Soo helay sac, se wuxuu cunaa hilib bisil","Simple clause, third-person verb usage with relative clause","He found an opportunity, but seeks only comfort or already finished success",Someone avoids effort and only wants rewards,B2,"Sarcasm, daily speech, workplace","Sarcastic, critical","Somali pastoral culture, mocking laziness",/soː hɛlɑj sɑʕ sɛ wʊhʊ ʕunɑː hɪlɪb bɪsil/,"Cabdi soo helay sac, se wuxuu cunaa hilib bisil, markasta wax dhammaysan ayuu doonayaa.",Markaan howsha bilaabnay ayuu yimi asagoo filaya in wax walba la dhammeeyay.,"Maamulaha wuu ka cadhooday, wuxuuna yiri, 'Soo helay sac, se wuxuu cunaa hilib bisil.'"
"Hilibkuba hadduu bislaado, lafihiisana way jilcaan","Compound sentence, conditional construction","When things go well, even hardships become manageable",Success makes everything easier,B2,"Wisdom, encouragement, family","Poetic, proverbial",Pastoral wisdom from Somali nomadic life,"/hɪlɪbkʊbɑ hɑdːuː bɪslɑːdɔ, lɑfɪhiːsɑnɑ wɑj ʤɪlʕɑːn/","Wuxuu yiri, hilibkuba hadduu bislaado, lafihiisana way jilcaan, marka nasiibku wuu la socdaa dadaalka.",Shaqada badan ayaa keenta in xalal laga helo caqabadaha.,"Hooyaday waxay ku oran jirtay, hilibkuba hadduu bislaado, lafihiisana way jilcaan."
Dab shiday doqon baa dabayl ku shiday,"Relative clause, past tense, passive structure",A foolish person worsens an already bad situation,Making things worse through ignorance,C1,"Politics, humor, workplace, social critique","Ironic, sarcastic",Proverbial wisdom from clan conflicts and community dynamics,/dɑb ʃidɑj dɔqɔn bɑː dɑbɑjl ku ʃidɑj/,"Xaaladdu way adkayd, dab shiday doqon baa dabayl ku shiday.",Madaxweyne hadalkaas wuxuu la mid yahay dab shiday doqon baa dabayl ku shiday.,"Wuxuu qabtay go'aan xun, taasoo ahayd mid hor leh—dab shiday doqon baa dabayl ku shiday."
Af wax cunay xishoo,"Imperative sentence, reflexive verb implication","If you benefited from something, don’t criticize it",Don't bite the hand that feeds you,B1,"Social relationships, daily speech, ethics","Colloquial, proverbial",Moralistic saying common in Somali hospitality norms,/ʔɑf wɑx ʧunɑj χɪʃoː/,"Af wax cunay xishoo, haddii aad wax ka faa’iiday, ka aamuso ceebtooda.",Ma ogtahay in aad adigu hore ugu naalootay? Af wax cunay xishoo!,Waa hadal hooyaday ku tiraahdo markaad ceebeyso qof ku caawiyay.
Far keliya fool ma dhaqdo,"Simple clause, metaphorical expression",One person alone can't handle everything,Teamwork is essential,A2,"Workplace, school, family, community","Motivational, proverbial",Common across Somali households to promote cooperation,/fɑɾ kɛlɪjɑ fɔːl mɑ ðɑqdoː/,"Shaqo badan ayaa jirta, far keliya fool ma dhaqdo.","Macallinku wuu yiri, ardaydu waa inay wada shaqeeyaan, far keliya fool ma dhaqdo.","Waa hubaal, guusha kooxdu waa muhim—far keliya fool ma dhaqdo."
Nin aan dhididin ma dhaxlo,"Negative declarative, past participle","No pain, no gain",Only hard work leads to reward,B1,"Motivational, education, moral lessons","Didactic, formal",Traditional Somali work ethic expressed proverbially,/nɪn ʔɑːn ðɪdɪdɪn mɑ ðɑxlɔ/,"Haddii aad rabto guul, nin aan dhididin ma dhaxlo.","Kaalinta hore ma ahan mid lagu helo raaxo, nin aan dhididin ma dhaxlo.",Waa hadal ku dhiirrigeliya shaqaalaha—nin aan dhididin ma dhaxlo.
Meel xun meel kale looma tago,"Negative declarative, locative clause",One misstep leads to another,Don't flee trouble by jumping into more trouble,B2,"Advice, social wisdom, sarcasm","Proverbial, cautionary",Traditional conflict-avoidance advice in Somali elders' circles,/meːl χun meːl kɑlɛ loːmɑ tɑgɔ/,"Xaaladaas wuu ka cararay, balse meel xun meel kale looma tago.","Hooyo waxay igu tiri, 'Meel xun meel kale looma tago.'","Markaad go’aan khaldan qaadato, waa inaad xasuusataa, meel xun meel kale looma tago."
Wixii kaa lumay lama leeyahey,"Relative clause, negative declarative",What's lost is not yours anymore,Let go of what you’ve lost,B1,"Life advice, healing, literature","Reflective, poetic",Pastoral teachings on resilience and detachment,/wɪxiː kɑː lumɑj lɑmɑ leːjɑhɛj/,"Waa inaad aqbasho xaqiiqada, wixii kaa lumay lama leeyahey.","Markuu telefoonkii iga lumay, hooyaday waxay tiri, wixii kaa lumay lama leeyahey.","Waxa luntay wuu iloobay, wixii kaa lumay lama leeyahey."
Nin waliba saad u dhaqanto ayuu kuu dhaqmaa,"Causative, conditional mood",People treat you the way you treat them,Respect begets respect,A2,"Social conduct, family, daily speech","Colloquial, moralistic",Behavioral norms among Somali elders,/nɪn wɑlɪbɑ sɑːd ʔu ðɑqɑntɔ ʔɑjʊː kuː ðɑqmɑː/,"Nin waliba saad u dhaqanto ayuu kuu dhaqmaa, sidaad dadka ula dhaqanto waa muhiim.","Islaanta waxay tiri, ‘Nin waliba saad u dhaqanto ayuu kuu dhaqmaa.’",Dugsi walba wuxuu leeyahay sharaf—nin waliba saad u dhaqanto ayuu kuu dhaqmaa.
