Idiom (Twi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Twi)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Abɔfra boɔ nkyɛ, ɔbɛyɛ ɔkɛse",Fixed clause (proverbial construction),A child's bad behavior won't last; they will mature with time.,Children outgrow bad behavior.,B1,"Family, Education, Daily Speech","Colloquial, Philosophical",Common Akan proverb emphasizing patience in child upbringing.,/abɔfra bɔː nʲcɛː ɔbɛje ɔkɛseː/,"Abɔfra boɔ nkyɛ, ɔbɛyɛ ɔkɛse a ɔbɛte n'adwene.",Mma yɛmfa abɔfra no bo nntɔ no; abɔfra boɔ nkyɛ.,W'ahu no dodo? Gyae na kae sɛ abɔfra boɔ nkyɛ.
Kɔtɔ nwo anomaa,Simple negated statement,One cannot expect the impossible; different beings produce their own kind.,Like produces like; the impossible does not happen.,B2,"Politics, Workplace, Sarcasm","Ironic, Philosophical",Draws on Akan symbolism of natural order.,/kɔtɔ nwo anɔma/,"Kɔtɔ nwo anomaa, enti wo mmarima mmɔfra no yɛ wo ho.","Nnipa a wonim wɔn ho, wonim sɛ kɔtɔ nwo anomaa.",Yɛbɛtumi aka sɛ kɔtɔ nwo anomaa wɔ asɛm yi mu.
"Agoro beso a, efiri anopa",Conditional clause,Success is determined early; preparation starts from the beginning.,The foundation determines the outcome.,B2,"Education, Business, Motivation","Formal, Inspirational",Widely quoted among Akan elders during advice.,/agɔrɔ bɛsɔ a ɛfiri anɔpa/,"Agoro beso a, efiri anopa nti, yɛsrɛ no ntete no yie.","Wopɛ sɛ wudwane yie a, kae sɛ agoro beso a, efiri anopa.","Mpanimfoɔ ka sɛ agoro beso a, efiri anopa."
Nanka bɛkyɛre ne ho,Simple future tense,A dangerous situation will eventually reveal itself.,The truth will come out.,C1,"Politics, Daily Speech, Suspense","Colloquial, Cautionary",Linked to Akan storytelling using snakes as metaphors.,/nanka bɛkyeɾɛ ne ho/,Nanka bɛkyɛre ne ho na yɛahu nea ɛwɔ mu.,"Sɛ wowɔ abotare a, nanka bɛkyɛre ne ho.","Ɔse: 'Gyae, nanka bɛkyɛre ne ho.'"
Animguase mfata ɔnipa,Negative declarative statement,Disgrace is unbecoming of a person.,One should avoid disgrace.,B2,"Family, Workplace, Proverbs","Formal, Moralistic",Moral teaching among Akan communities.,/animɡwase mfata ɔnipa/,"Animguase mfata ɔnipa, enti yɛnnya nidi.","Ɔbarima bɛyɛ den a, animguase mfata no.",Ka kyerɛ no sɛ animguase mfata ɔnipa.
"Nsuo beto a, ɛka nkɔtɔ",Conditional statement,"When trouble arises, everyone is affected.",A rising tide lifts all boats—negatively.,B2,"Politics, Social Commentary","Ironic, Cautionary",Riverine societies in Akan regions.,/nsuo bɛtɔ a ɛka nkɔtɔ/,"Nsuo beto a, ɛka nkɔtɔ, enti yɛn hwɛ yɛn ho.","Yɛka sɛ nsuo beto a, ɛka nkɔtɔ wɔ amanyɔsɛm mu.","Nsuo beto a, ɛka nkɔtɔ; yɛnyɛ yɛn ho den."
"Sɛ wo werɛ fi a, yɛkae",Conditional statement,"If you forget, we will remind you.",We'll remind you if you forget.,B1,"Family, Humor, Sarcasm","Colloquial, Playful",Everyday Akan social interactions.,/sɛ wɔ werɛ fi a yɛkae/,"Sɛ wo werɛ fi a, yɛkae na yɛmma wo werɛ.","Yɛka sɛ sɛ wo werɛ fi a, yɛkae wɔ abusua mu.","Sɛ wo werɛ fi a, yɛkae paa."
Akokɔbaatan nni ne mma akyi,Negative declarative,A caring person never abandons their dependents.,A protector never forsakes their own.,C1,"Family, Politics, Leadership","Formal, Motivational",Akan proverbs about parenthood and responsibility.,/akɔkɔbaatan nni ne mma akyi/,Akokɔbaatan nni ne mma akyi; ɔbɔ wɔn ho ban.,Nana no ka sɛ akokɔbaatan nni ne mma akyi.,Ɛyɛ nokware sɛ akokɔbaatan nni ne mma akyi.
"Wopɛ akɔtɔ a, sua nsuo kɔtɔ",Conditional imperative,Prepare adequately for what you seek.,Prepare before taking action.,B2,"Education, Life Advice","Formal, Advisory",Life lessons in Akan culture.,/wɔpɛ akɔtɔ a sua nsuo kɔtɔ/,"Wopɛ akɔtɔ a, sua nsuo kɔtɔ, na ɛyɛ wo yie.",Nnipa a wɔpɛ nkɔso sua nsuo kɔtɔ.,"Yɛsrɛ no: wopɛ akɔtɔ a, sua nsuo kɔtɔ."
Se tete wɔfrɛ no nsamanfo,Simple declarative clause,What is ancient is regarded as ancestral; old things have historical significance.,Old things are respected for their history.,C1,"History, Culture, Education","Formal, Literary",Relates to Akan reverence for ancestors and traditions.,/sɛ tɛtɛ wɔfrɛ no nsamanfo/,"Se tete wɔfrɛ no nsamanfo, enti yɛdi abosom som.",Aberewa no bɔɔ me kɔkɔ sɛ se tete wɔfrɛ no nsamanfo.,"Wopɛ sɛ wusu nyansa a, kae sɛ se tete wɔfrɛ no nsamanfo."
