Idiom (Vietnamese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Vietnamese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nước chảy đá mòn,Fixed clause with subject–verb–object structure,Kiên trì sẽ vượt qua khó khăn,Sự kiên nhẫn sẽ mang lại kết quả,B2,"Literature, daily speech","Literary, philosophical","Xuất phát từ quan sát thiên nhiên, phổ biến trong văn học dân gian",nɨək̚˦˥ ca᷉j ɗa˦˧ mɔn˨˩,"Anh ấy tin rằng nước chảy đá mòn, nên kiên trì học tập mỗi ngày.","Bà thường dạy cháu rằng nước chảy đá mòn, cứ nhẫn nại thì thành công sẽ tới.",Câu chuyện đời ông chứng minh nước chảy đá mòn.
Ăn cơm trước kẻng,Verb phrase with temporal adjunct,Quan hệ tình dục trước hôn nhân,Quan hệ thân mật khi chưa kết hôn,C1,"Humor, family, gossip","Colloquial, humorous","Liên hệ với đời sống quân ngũ, kẻng báo giờ ăn cơm",ʔaŋ˧ kəːm˧ cɨək̚˦˥ kɛŋ˧˦,Bạn bè trêu anh ta vì ăn cơm trước kẻng.,"Hồi xưa, ở làng, chuyện ăn cơm trước kẻng bị coi là tai tiếng.","Họ yêu nhau và đã ăn cơm trước kẻng, nhưng vẫn sống hạnh phúc."
Đứng núi này trông núi nọ,Fixed clause with contrastive construction,"Luôn so sánh, không hài lòng với hiện tại",Không bằng lòng với những gì mình có,B2,"Workplace, daily speech","Colloquial, ironic",Xuất phát từ hình ảnh người ở núi thấp nhìn sang núi cao,ɗɨŋ˦˧ nuj˧˦ naːj˨˩ t͡ɕoŋ˧ nuj˧˦ nɔ˧˦,"Cô ấy lúc nào cũng đứng núi này trông núi nọ, chẳng bao giờ thỏa mãn.",Anh ta bỏ việc vì đứng núi này trông núi nọ.,Đứng núi này trông núi nọ là thói quen khó sửa của nhiều người.
Nói một đằng làm một nẻo,Parallel clause structure,Không nhất quán giữa lời nói và hành động,Hứa một đằng làm khác đi,B2,"Politics, workplace, sarcasm","Colloquial, sarcastic",Phổ biến trong xã hội hiện đại khi chỉ trích sự giả dối,nɔj˦˧ mot̚˧ ɗaŋ˨˩ lam˨˩ mot̚˧ nɛw˧˦,Ông ấy nổi tiếng vì nói một đằng làm một nẻo.,Người dân mất lòng tin vì quan chức nói một đằng làm một nẻo.,Cô bé phàn nàn mẹ nói một đằng làm một nẻo.
Chó treo mèo đậy,Fixed phrase with imperative mood,Phải cẩn thận bảo quản thức ăn,Cần giữ gìn thức ăn cẩn thận,A2,"Daily life, family","Colloquial, practical",Xuất phát từ kinh nghiệm dân gian nông thôn,cɔ˦˧ t͡ɕew˧˦ mɛw˨˩ ɗəj˨˩,Bà nhắc cháu chó treo mèo đậy để khỏi mất đồ ăn.,"Ngày xưa, ông bà thường dặn chó treo mèo đậy sau bữa cơm.","Ở quê, chó treo mèo đậy là thói quen thường nhật."
Lên voi xuống chó,Parallel clause with contrastive verbs,"Thăng trầm, lúc vinh quang lúc khổ cực","Cuộc đời thay đổi bất ngờ, khi cao khi thấp",C1,"Literature, politics, workplace","Literary, ironic","Nguồn gốc từ hình ảnh lễ hội, săn bắn",len˧ voj˧ suəŋ˦˧ cɔ˦˧,Cuộc đời anh ta lên voi xuống chó sau biến cố.,Người nghệ sĩ quen với việc lên voi xuống chó.,Chính trị gia thường trải qua cảnh lên voi xuống chó.
Mẹ tròn con vuông,Fixed phrase with parallel structure,"Sinh con thuận lợi, mẹ khỏe con khỏe",Sinh nở thành công,B1,"Family, health","Colloquial, celebratory",Thành ngữ truyền thống chúc mừng khi sinh con,mɛ˨˩ t͡ɕɔn˨˩ kɔn˧ vuəŋ˧,Gia đình vui mừng vì mẹ tròn con vuông.,Họ hàng gửi lời chúc mừng mẹ tròn con vuông.,"Sau ca sinh, bác sĩ báo tin mẹ tròn con vuông."
Cá nằm trên thớt,Clause with metaphorical subject,"Ở thế bị động, không thể tự vệ",Bị kẹt trong tình huống nguy hiểm,C1,"Politics, workplace, literature","Colloquial, ironic",Liên hệ hình ảnh cá bị giết mổ,ka˦˧ nam˨˩ cən˧ tʰɤt̚˧,Anh ta như cá nằm trên thớt khi bị sếp phát hiện lỗi.,Người dân như cá nằm trên thớt trước chính sách mới.,Tù nhân cảm thấy mình như cá nằm trên thớt.
Khẩu Phật tâm xà,Nominal phrase with parallel metaphor,Lời nói hiền lành nhưng tâm địa độc ác,Bề ngoài tử tế nhưng trong lòng xấu xa,C2,"Religion, sarcasm, literature","Literary, sarcastic",Ảnh hưởng từ văn hóa Phật giáo và dân gian,kʰəw˧ fət̚˧ təm˧ sa˨˩,Người ấy bị chê là khẩu Phật tâm xà.,Câu chuyện minh họa rõ nét khẩu Phật tâm xà.,"Anh ta tưởng tốt bụng, ai ngờ khẩu Phật tâm xà."
Một nắng hai sương,Fixed phrase with numerical emphasis,Lao động vất vả quanh năm,Làm việc cực nhọc,B1,"Literature, rural life","Poetic, colloquial","Từ đời sống nông nghiệp, ám chỉ sự nhọc nhằn",mot̚˧ naŋ˦˧ haj˧ sɨəŋ˧,Người nông dân quen cảnh một nắng hai sương.,Thơ ca thường nhắc đến cuộc đời một nắng hai sương.,Cha mẹ tần tảo một nắng hai sương nuôi con.
